name,latitude,longitude,type,tel,cel,email,address
Rammulotsi Clinic,-27.195411,26.953781,Clinic,563433337,842084199,,889kamanamang
Rearabetsoe (Virginia) Clinic,-28.062362,26.864448,Clinic,057-2174463,844356766,,48 Cobalt Road
Rearabetswe Clinic,-27.65412,28.128079,Clinic,588713167,82447,raniendewet@telkomsa.net,Corner Of Pdgieter And Hetzog Str
Refengkgotso Clinic,-26.893497,28.07193,Clinic,163711318,785229028,hazy@latic.ne,337 Refengkgotso Denesuville
Reitumetse Clinic,-28.620655,28.195531,Clinic,058-2230555,,,Mail Street
Reitz Clinic,-27.80303,28.41965,Clinic,058-8632319,718595905,,2 Arne Street
Relebohile (Heilbron) Clinic,-27.271558,27.975467,Clinic,058852 1040,839975400,,Mbhethe Str
Relebohile (Rosendal) Clinic,-28.509234,27.923094,Clinic,058-2110729,,,109 Mautse Rosendal
Relebohile (Vredefort) Clinic,-27.001756,27.376143,Clinic,059-9310457,,,900 Kumalo Street
Rheederspark Clinic,-27.95453,26.72002,Clinic,057-3528169,833065511,,8 Schoeman Street
Riebeeckstad Clinic,-27.93358,26.81187,Clinic,057-3881291,,,50 Mclean Street Riebeekstad
Riverside Clinic,-28.543744,28.81292,Clinic,587133511,721473511,,P.Bag X824 Witslehoil
Sandersville Clinic,-27.274955,27.96499,Clinic,588522380,718595710,,"Van Staden Street,"
Sasolburg Clinic,-26.81798,27.8277,Clinic,169732782,845091498,,10 Fichardt Str
Schonkenville Clinic,-26.933283,27.462363,Clinic,568198461,745484345,,158 Schonkenville
Seadimo Clinic,-29.10045,26.9845,Clinic,,832660374,,"141 Moroto Street, Seadimo"
Sediba Clinic,-29.02893,26.94302,Clinic,832660235,833148044,,
Sedibeng sa Bophelo Clinic,-27.945436,27.553952,Clinic,0564710117/8,825787621,sedaadmi@fshealth.gov.za,1152wangtlwang
Seeisoville Clinic,-27.653929,27.210549,Clinic,562132535,743095459,,Hill Street
Sehularo Tau Clinic,-30.261882,25.714614,Clinic,051-7830072,832425842,,666 Emily Hobhouse
Sekamotho Mota Clinic,-28.648787,28.85226,Clinic,058-7210171,824773887,,Thibella Village Gothibella Stadium
Senekal Clinic,-28.322917,27.619398,Clinic,058-4812713,,,5 Noord Straat
Sizabantu Clinic,-27.266284,27.977631,Clinic,588521711,,,2263 Phiridona Heilbron
Soetwater Clinic,-28.874965,27.875909,Clinic,519332281,782933111,sphiwegerald@gmail.com,40 Bloem Street Ficksburg
Stoffel Coetzee Hospital,-30.223197,26.523206,District Hospital,051 683 0168,083 294 6696,mgoqi me@fshealth.gov.za,Vos Steert
Tebang Clinic,-28.525901,28.872349,Clinic,058-7131327,837600103,,Tebang Village
Thaba Bosiu Clinic,-28.598146,28.883338,Clinic,058-7210139,839294949,,
Thaba Nchu Clinic,-29.21871,26.848073,Clinic,518751298,836936561,,375 Van Riebeck Street
Thaba Phatswa Clinic,-29.312954,27.124904,Clinic,519640099,836976377,rvdwatt@vodamail.co.za,Hobhouse Road
Thabang Clinic,-28.609871,28.829767,Clinic,058-7131327,837600103,,Thabang Village
Thabong Clinic,-27.96402,26.79163,District Hospital,057 354 2111,,vdmerwe@fshealth.org.za,Hospita Road Olrus
Thebe Hospital,-28.271947,29.13666,District Hospital,586241800,837070286,moloifc@fshealth.gov.za,End Mauritz Street
Thembalethu Clinic,-30.212867,26.536054,Clinic,051-6830131,,coertzes@fshealth.gov.za,3 Douglas Street
Thusa Bophelo Clinic,-27.835895,28.978066,Clinic,058-6430028,761290864,,1462 Ezenzelem Warden
Thusanang (Sasolburg) Clinic,-26.845085,27.864598,Clinic,169744934,,,Me M5910 Chris Hani St
Thusanong (Kroonstad) Clinic,-27.648774,27.19018,Clinic,562143882,835814546,,3665 Constantia
Thusanong (Parys) Clinic,-26.919767,27.48572,Clinic,568199960,844805471,,3793 Vuka Location Tumahole
Thusanong Hospital,-27.87735,26.65922,District Hospital,573542111,,vdmerwe@fshealth.,Hospital Street
Thusong Clinic,-29.18472,26.23462,Clinic,514341201,828302255,,Moshoeshoe Road
Tiger River Clinic,-29.12047,26.78943,Clinic,,732059786,,
Tina Moloi Clinic,-28.609704,28.85617,Clinic,587894114,078725 6172,,Moeding Village
Tokollo Hospital,-27.289189,27.961691,District Hospital,588523030,832432004,noges@fshealth.gov.za,Myron Street
TS Mahloko Clinic,-29.24308,26.71661,Clinic,515321641,732364476,,"2009 Section C,"
Tsatsi SPS Clinic,-26.844407,27.855738,Clinic,016 9742160,732242784,,3999 Tayler Park Zamdela
Tseki Clinic,-28.585681,28.772019,Clinic,587132435,724027598,,Private Bag X824 Witsieshoek
Tshepong (Kroonstad) Clinic,-27.638847,27.174082,Clinic,562144257,082485 7963,,2853 Gelukwaarts Rd
Tshepong (Verkeerdevlei) Clinic,-28.8401,26.76212,Clinic,051-8411028,834232941,,23 Tshepong Location Banyane Drive
Tshepong (Welkom) Clinic,-27.95773,26.83607,Clinic,057-3837360,,,26128 Ndaki Street Thabong Welkom
Tshirela Clinic,-28.622886,28.804302,Clinic,058-7891757,790352052,,
Tshwaraganang (Hertzogville) Clinic,-28.12308,25.49985,Clinic,534219622,718595708,,Malebogo Street
Tumahole Clinic,-26.916282,27.467778,Clinic,568198970,,,9811 Brown Jumahole
Tweefontein Clinic,-29.37017,26.92562,Clinic,,832660439,,Tweefontein
Tweespruit Clinic,-29.185178,27.029634,Clinic,519630111,,,Pepper Street 8
Universitas (C) Hospital,-29.116587,26.183746,Central Hospital,051-405 3557,082 378 3085,musapem@fshealth.gov.za,Logeman Street
Vaal Rock Clinic,-28.68152,26.46135,Clinic,051 8212 024,074 3448 681,,1558 Segalo Street
Vanstadensrus Clinic,-29.9852,27.0136,Clinic,515841118,0718595944/071859525,,Haupt Street
Villiers Clinic,-27.028574,28.59694,Clinic,058 8210390,845025885,,24 Ermmet Str Lillers
Virginia Clinic,-28.10762,26.86413,Clinic,057-2127078,718595876,,6 Union Street Virginia
Vrede Clinic,-27.434361,29.155285,Clinic,5891333197,,,Kun\Hn Srt 75 Vrede
Welkom Clinic,-27.98545,26.7414,Clinic,057-3575432,718595768,,4 Arrat Road
Westdene Clinic,-29.10278,26.20763,Clinic,514058170,,,Haarburg Cresent
Winburg Clinic,-28.52991,26.99409,Community Health Clinic,,730883551,,"Boibotong Location, Makeleketi, Winburg"
Winburg Hospital,-28.5098,27.00802,District Hospital,518810046,,,Noordlaan Steert Winburg
Winnie Mandela (Botshabelo) Clinic,-29.21828,26.70333,Clinic,515330306,,,"2295 J Section, Botshabelo"
Winnie Mandela (Rouxville) Clinic,-30.407733,26.830899,Clinic,051-6630122,,mckayfm@fshealth.gov.za,57 Pushodi Road
Zamani Clinic,-27.66872,29.56125,Clinic,058-9240407,732577059,,Zamani No 707
Zamdela CHC,-26.842064,27.846088,Community Health Clinic,169741110,760441768,,
17 Esselen Street Clinic,-26.190896,28.044939,Clinic,011-725-6711/2,076-678-7761,,17 Esselen Street
4th Avenue Clinic,-26.1051,28.09007,Clinic,011-882-8930,073-454-8930,matilda.makwena@joburg.org.za,4th Avenue And Hofmeyer Street
80 Albert Street Clinic,-26.208026,28.049984,Clinic,011-334-6009/0538,083-287-0788,,80 Albert Clinic
Adelaide Tambo Clinic,-25.58195,28.23326,Clinic,,082 458 1023,,"Stand 30, Fanie Van Rensburg Street, Pyramid"
Albertina Sisulu Clinic,-26.57697,27.84864,Clinic,016-595-1093,076-472-9737,,14863 Zone 11 Sebokeng
Alberton North Clinic,-26.259778,28.128664,Clinic,011-999-2263/2393,082-312-3560,martha.dube@ekurhuleni.gov.za,"Cnr 2nd Avenue And Hendrick Potgieter,Alberton North"
Alexandra 8th Avenue Clinic,-26.109772,28.096131,Clinic,011-443-8211,083-287-1099,,Corner Rooseveldt And 8th Avenue
Alexandra CHC,-26.116169,28.090625,Community Health Clinic,011-440-1231,082-496-1380,labanem@alexclinic.org.za,"33 Arkwright Avenue,Wynberg"
Alexandra East Bank Clinic,-26.106843,28.11028,Clinic,011-882-0905,083-287-1333,wendyt@joburg.org.za,1119 Corner Springbok And Creset Impala Road
Alra Park Clinic,-26.432645,28.508218,Clinic,011-999-9073,,petersen.darryl@ekurhuleni.gov.za,3 Peach Avenue Alra Park
Andries Raditsela Clinic,-26.33434,28.38866,Clinic,011-368-8003,073-051-4242,admin.andries@vodamail.co.za,1718 Phooko Drive Ext3 Langaville
Atteridgeville Clinic,-25.76861,28.07841,Clinic,012-373-0126,083-493-0295,sylvienn@tshwane.gov.za,"Corner Mareka & Mokobane Streets, Atteridgeville"
Azaadville Clinic,-26.17092,27.75829,Clinic,011-413-1345,,,Cnr Taj-Mahal And Azaad Avenue
Badirile Clinic,-26.13027,27.59278,Clinic,114162100,727838433,,"Plot 261,Brandvlei"
Barcelona Clinic,-26.109221,28.452586,Clinic,011-999-6991,,mokoenass.ss.ekurhuleni.gov.za,22286 Barcelona Etwatwa
Barney Molokoane Clinic,-26.492298,27.878977,Clinic,011-850-6587,082-731-6689,,"4424 Vulindlela Street Extension 1,Orange Farm"
Bedfordview Clinic,-26.178856,28.134833,Clinic,011-999-0077/75,,ngobeni.d@ekurhuleni.gov.za,3 Skeen Boulevard
Bekkersdal East Clinic,-26.28345,27.70399,Clinic,,766657525,,1298 Kgomoetlhaba Street
Bekkersdal West CHC,-26.28619,27.6974,Community Health Clinic,117551946,829231902,lalakhal@gmail.com,3540 Khomo & Hlaba Street
Berario Clinic,-26.136176,27.953049,Clinic,114765642,,,C/O Hoover And Dolores Street
Beverly Hills Clinic,-26.54248,27.82381,Clinic,016-590-4002,083-573-9260,,1971 Hollywood Street
Bezvalley Clinic,-26.186704,28.088153,Clinic,011-648-0617/011-432-2828,083-287-1212,,Cnr 6th And 4th Avenue
Birchleigh Clinic,-26.067763,28.228115,Clinic,011-999-4190/3,,sonjan@ekurhuleni.goc.za,Houtkapper Street
Birchleigh North Clinic,-26.052617,28.22992,Clinic,011-999-9147,083-703-4276,thelma.nekhumbe@ekurhuleni.gov.za,Mooifontein Road Birchleigh North
Blybank Satellite Clinic,-26.342542,27.472684,Satellite Clinic,,834277043,,40 Boxer Street
Blyvooruitsig Clinic,-26.39638,27.37695,Clinic,187899623,737183631,,15-19th Avenue
Boekenhout CHC,-25.541304,28.301457,Clinic,127021495,828267558,,
Boikhutsong Clinic,-25.44835,28.1125,Clinic,012-790-0091,082-335-2792,,1266-T
Boipatong CHC,-26.67216,27.84787,Community Health Clinic,016-988-3487,071-686-9792,,1990 Lekoa Street Boipatong
Boitumelo Clinic,-26.56237,27.82432,Clinic,016-989-7098,071-686-9801,,2001 Mandela Drive
Boksburg Civic Centre Clinic,-26.222354,28.251016,Clinic,011-999-5929,,malatsir@ekurhuleni.gov.za,Corner Of Commissioner And Trichardt
Boksburg North Clinic,-26.208984,28.252593,Clinic,011-999-5541,083-708-1058,deidre.vtonder@ekurhuleni.gov.za,Cason Road Boksburg North
Bonaero Park Clinic,-26.119863,28.256042,Clinic,011-999-3506/08,,boniwe.ndhlovu@ekurhuleni.gov.za,Corner Of Botha And Aldergrove Road
Bophelong (Region 2) Clinic,-26.004592,28.190368,Clinic,112611212,731164211,mphoran@joburg.org.za,"3699 Ivory Park,Ext 2"
Bophelong (Region 6) Clinic,-26.24417,27.80778,Clinic,119319001,834087411,,34755 Block 11
Bophelong (Region B) CDC,-26.6939,27.79729,Community Health Clinic,119862409,848006413,,632 Matheo Street
Bophelong (Region C) Clinic,-25.77192,28.0534,Clinic,012-375-6085,082-370-8062,matutema@gauteng.gov.za,"66 Masopha Street, Saulsville 0125"
Bosmont Clinic,-26.189144,27.957303,Clinic,114743413,834085584,,611 C/O Maraisburg And Griffith Road
Brackenhurst Clinic,-26.31419,28.097271,Clinic,011-867-3610/1,,elizevermaak@ekurhuleni.gov.za,73a Roy Campbell Street
Bristlecone Clinic,-26.450595,27.856613,Clinic,,082-373-1179,,Golden Highway 16065 Ext 9 Orange Farm
Bronkhorstspruit Clinic,-25.809217,28.743217,Clinic,139326283,829587728,,C/O Market And Botha Street
Calcot Dhlephu Clinic,-26.376669,28.378194,Clinic,011-999-8007,,ednam@ekurhuleni.gov.za,Humlwana Gusuleszwe Street
Carletonville Central Clinic,-26.35791,27.39726,Clinic,187889634,815768999,,1 Halite Road
Carletonville hospital,-26.34704,27.39446,District Hospital,187881700,833269844,mohau.motloung@gauteng.gov.za,C/O Falcon & Annan Road
Charlotte Maxeke Hospital,-26.176728,28.044255,Central Hospital,011-488-3792/4911,071-609-2460,barney.selebano@gauteng.gov.za,Jubilee Street Parktown
Chiawelo CHC,-26.279299,27.865437,Community Health Clinic,011 9862159,,,1753 Rihlaphy
Chief Albert Luthuli Clinic,-26.158635,28.387513,Clinic,011-999-6954,,mildrett.malesa@ekurhuleni.gov.za,2202/3 Harry Gwela Street Chief Albert Luhuli Park
Chris Hani Baragwanath Hospital,-26.260553,27.943919,Central Hospital,119338000,827745139,johanna.more@gauteng.gov.za,126 Chris Hani Road
Claremont Clinic,-26.178211,27.955838,Clinic,114779936,,,C/O Princess And Claremont Street
Crosby Clinic,-26.1926,27.989892,Clinic,118379119,822647915,sally@joburg.org.za,77 Ingleby Street
Crown Gardens Clinic,-26.24917,28.00458,Clinic,011-433-2351/2335,082-460-1639,mariamor@joburg.org.za,Cnr Ulster And Mourne Street
Crystal Park Clinic,-26.137101,28.370709,Clinic,011-999-6690,,tumi.moqedane@ekurhuleni.gov.za,565 Strand Street
Cullinan Rehabilitation Hospital,-25.691202,28.538929,Specialised Psychiatric Hospital,127347000,827773208,matshidiso.nyatloa@gauteng.gov.za,Zonderwater Rd.
Dan Kubheka Clinic,-26.187793,28.394479,Clinic,011-999-6666,,malebese.mokou@ekurhuleni.gov.za,701 Duduzile Street Kingsway
Danville Clinic,-25.74772,28.13359,Clinic,012-386-6052,082-761-7458,moiram@tshwane.gov.za,"10 Trans Orange Road, Danville"
Dark City CHC,-25.674777,28.726485,Community Health Clinic,139357027,767182963,selinahlk@gmail.com,
Daspoort Poli Clinic,-25.71389,28.13167,Clinic,012-379-3453,,,"Corner Market & Camp Street, Daspoort"
Daveyton East Clinic,-26.134454,28.439658,Clinic,011-999-6926/4,,mahlangu.dm@ekurhuleni.gov.za,"869 Reggie Street,Chris Hani"
Daveyton Ext Clinic,-26.075501,28.261911,Clinic,011-999-6926/4,,mahlangu.dm@ekurhuleni.gov.za,"869 Reggie Street,Chris Hani,Daveyton"
Davidsonville Clinic,-26.154778,27.848818,Clinic,117635932,835118365,nononbama@joburg.org.za,C/O Minaar And Campbell
Dawn Park Clinic,-26.306469,28.257654,Clinic,011-862-1008,,mamogoboe@ekurhuleni.gov.za,Crn Cossin And Rondebult Road
De Wagensdrift Satellite Clinic,-25.3051,28.3141,Clinic,127352337,825686611,,"Plot 78,Meloto Road, De Wagensdrift"
Diepkloof LA Clinic,-26.237208,27.946145,Clinic,119851104,823340395,,"3790 Martinus Smuts Drive,Zone 3 Diepkloof"
Diepkloof Prov Clinic,-26.240192,27.94776,Clinic,119854501,,,7648 Redshaw Road
Diepsloot South Clinic,-25.93107,28.00507,Clinic,114647182,824679301,charlenem@joburg.org.za,Bj Marx Street
Dilopye Clinic,-25.38296,28.19353,Clinic,012 710 2903,083 288 6934,,Stand No.192 Dilopye
Discoverers CHC,-26.166661,27.894437,Community Health Clinic,116741200,,,37 Clarendon Drive
DMA Kromdraai Clinic,-25.98821,27.78312,Clinic,,834108454,,Plot 520 Jq
Doornpoort Satellite Clinic,-25.6559,28.25141,Satellite Clinic,082-612-0511,082-612-0511,deliam@tshwane.gov.za,Airport Road
Dr George Mukhari Hospital,-25.61904,28.01216,Central Hospital,125293875,833107093,trevor.fisher@gauteng.gov.za,"3111 Setlogelo Drive, Ga-Rankuwa"
Dr Helga Kuhn Clinic,-26.49727,27.83708,Clinic,016-581-0812,071-686-9817,,2063 Chestnut Street
Dr Ramirez Martinez Clinic,-26.07464,27.75266,Clinic,116608737,,,1901 Gopane Street
Dr Yusuf Dadoo Gateway Clinic,-26.09934,27.78333,Clinic,011-951-6213/14,,,No1 Corner Memorial And Hospital Street
Dr Yusuf Dadoo Hospital,-26.09965,27.78386,District Hospital,011-951-6000,083-302-7153,sofohlop@gauteng.gov.za,"Corner Memorial And Hospital Street,Krugersdorp"
Dresser Clinic,-26.355038,28.135943,Clinic,011-999-2850,,pkgatlhanye@ekurhuleni,3521 Mokoene Street Thokoza
Driehoek Clinic,-26.72609,27.8462,Clinic,016-932-5679,,,Stuttaford Street Se 2
Duduza Clinic,-26.373584,28.415497,Clinic,011-999-9099,072-690-7188,,3 Nala Street
Dukathole Clinic,-26.22604,28.190854,Clinic,011-872-1777,,melanygulston@ekurhuleni.gov.za,"1166 Van Lingen Street,Dukathole"
East Lynne Clinic,-25.70512,28.2846,Clinic,128002288,824840070,zeldash@tshwane.gov.za,"Pieter Crynaun Center,C/O Meeu & Stegman,East Lynne"
Ebony Park / Kaalfontein Clinic,-25.994083,28.179631,Clinic,112610228,825514935,peggyma@joburg.org.za,
Eden Park Clinic,-26.377001,28.125998,Clinic,011-999-2114(2741),076-306-8396,simonraselekane@ekurhuleni.gov.za,Cnr Abraham And Ferrari Street
Edenvale Clinic,-26.134842,28.148708,Clinic,011-452-5168,,,Corner Of 9th And Van Riebeeck Avenue
Edenvale Hospital,-26.127921,28.128374,Regional Hospital,011-321-6000,,annemarie.clarkson@gauteng.gov.za,Modderfontein Road Edenvale
Eersterust CHC,-25.71645,28.30801,Community Health Clinic,128061300,823708057,,C/O Hans Coverdale East And P.S Fourie
Eikenhof LA Clinic,-26.334473,27.987362,Clinic,,082-463-8951,,Plot 51 Kliprivier Road
Ekangala Clinic,-25.697721,28.752589,Clinic,139344381,767253480,,"1227 Section D,Ekangala"
Elandsfontein Clinic,-26.26104,27.50366,Clinic,114163507,,,"Plot 277,Elandsfontein"
Eldorado Park Ext 2 Clinic,-26.289298,27.921023,Clinic,011-945-4203,082-969-1087/071-480-5385,,Arlberg And Witterberg
Eldorado Park Ext 9 Clinic,-26.299956,27.889738,Clinic,011-945-3188,,,59 Boundary Road
Eldoraigne Satellite Clinic,-25.83591,28.14881,Satellite Clinic,126541080,,,C/O Allan And Saxby Rd.
Elias Motsoaledi Clinic,-26.21833,27.915648,Clinic,119364106,836701643,,13149 Carr Str.
Elsburg Clinic,-26.245744,28.200595,Clinic,011-824-3506/011-999-0352,083-327-2486,motsoenengt@ekurhuleni.gov.za,Corner Of Voortrekker And Els Street
Empilisweni CDC,-26.547603,27.874382,Community Health Clinic,016-593-9512,071-686-9821,mapitso.mzoto@gauteng.gov.za,C/O Johanna Van Der Merwe And Ezindumevi Zone 7
Endayeni Clinic,-26.01958,28.191648,Clinic,011-999-4339,,mabuselae@ekurhuleni.gov.za,506 James Mohoya Tembisa
Ennerdale Ext 8 Clinic,-26.41318,27.81714,Clinic,011-855-1401,082-857-2639,,Cnr Cryolite Abd Zeolite Street Ennerdale Ext 8
Ennerdale Ext 9 Clinic,-26.402729,27.831411,Clinic,,082-857-5972,,Cnr Katz Smith And Kalk Street
Eric Ndeleni Clinic,-26.19463,27.76829,Clinic,,071-682-0581,,898 Flamingo Street Swnaville
Erin Clinic,-25.994213,28.223432,Clinic,011-926-4589,,,676 Nasa Street Tembisa
Esangweni CHC,-26.022075,28.201073,Community Health Clinic,011-999-4362,,sbonuseni@ekurhuleni.gov.za,219 Mpilo Street
Ethafeni Clinic,-26.023504,28.214588,Clinic,011-999-4361,,mehlop@ekurhuleni.gov.za,43 Benin Street Ethafeni
Evaton Main Clinic,-26.53166,27.866001,Clinic,016-597-3022,,,1459 Togo Road Evaton
Eyethu Yarona Clinic,-25.990026,27.927247,Clinic,,828571918,,"Malibongwe Drive,Lionspark"
Fanyana Nhlapo Clinic,-26.15222,27.78694,Clinic,011-410-8439,,,C/O Mmusong And Kagiso Avenue
Far East Rand Hospital,-26.236265,28.4041,Regional Hospital,011-812-8300,082-828-4061,lekopane.mogaladi@gauteng.gov.za,Hospital Street New State Area
FF Ribeiro Clinic,-25.74501,28.19489,Clinic,012-358-8770,083-692-9399,lizg@tshwane.gov.za,"Cnr Vermeulend & Prinsloo Streets, Pretoria"
Finetown Clinic,-26.414188,27.858217,Clinic,011-855-5929,,,"2624 Fine Street,Finetown"
First Avenue Clinic,-26.25051,28.444317,Clinic,011-999-8792,,tshepisom@ekurhuleni.gov.za,20 1st Avenue Clinic Springs
Florida Clinic,-26.171173,27.9128,Clinic,116744451,835177757,,8 Madeline Street
Fochville Clinic,-26.48662,27.48767,Clinic,187715767,838996561,,42 Eight Street
Folang Clinic,-25.74971,28.174,Clinic,012-358-0274,072-146=-6212,tinyk@tshwane.gov.za,"175 D F Malan Drive, Pretoria West"
Garankuwa View Clinic,-25.54823,27.98322,Clinic,072-254-0787,072-254-0787,,"819 Kgaka Street, Garankuwa"
Gazankulu Clinic,-25.7808,28.05619,Clinic,023-375-7392,079-018-5467,fatimam@tshwane.gov.za,Corner Makhaza & Mphanlane Streets
Geluksdal Clinic,-26.34236,28.361042,Clinic,011-999-7988,,thembanem@ekurhuleni.gov.za,Ultog Avenue
Germiston City Clinic,-26.217029,28.164254,Clinic,011-999-0525,083-326-4377,petronella.mothei@ekurhuleni.gov.za,Cnr Of Queen And Cross Street
Germiston Hospital,-26.218874,28.162948,District Hospital,011-345-1200,,,Corner Of Angus And Joubert Street
Glenanda Clinic,-26.271203,28.038483,Clinic,011-432-3546,082-688-2347,poppymadi@joburg.org.za,C/O Voster And Surmon
Glenhavie Satellite Clinic,-26.38992,27.61567,Clinic,117511178,765606272,,97 Bainskloof Street
Goba Clinic,-26.34235,28.15183,Clinic,011-999-1351,,nomaswazi@ekurhuleni.gov.za,310 Mavuso Street Goba Sec Katlehong
Green Village Porta Cabin Clinic,-26.236903,27.804849,Clinic,119312924,834621761,noneomimog@joburg.org.za,2711 Nice Street
Greenfields Clinic,-26.39655,28.125408,Clinic,011-999-2785,,nelly.magagula@ekurhuleni,2396 Cnr Weeping Wattle And Wildplum
Greenspark Clinic,-26.49359,27.51478,Clinic,187712176,,,C/O Hawk & Fisant Street
Halfway House Clinic,-25.998816,28.128514,Clinic,118053112,,,Market Street
Hands of Compassion Clinic,-25.97402,27.91211,Clinic,,834108573,,
Heidelberg Clinic,-26.503774,28.351947,Clinic,016-349-5721,,,50 Ueckermann Street
Heidelberg Hospital,-26.49873,28.357912,District Hospital,016-431-1100,,,Hospital Street
Helderkruin Clinic,-26.13764,27.869461,Clinic,117645403,832258934,peppym@joburg.org.za,Pheasant Street
Helen Joseph Hospital,-26.183916,27.99031,Regional Hospital,114891011,829273565,gladys.bogoshi@gauteng.gov.za,"1 Perth Road,Auckland"
Hercules Clinic,-25.712,28.1477,Clinic,,082-612-0511,deliam@tshwane.gov.za,"Corner Taljaard & Ribbon Streets, Hercules"
Hikhensile Clinic,-25.992591,28.204485,Clinic,113102147,731161153,gloriam@joburg.org.za,8786 Koko Street
Hillbrow CHC,-26.19298,28.045768,Community Health Clinic,011-694-3775/6,082-926-0121,mary.kekana@gauteng.gov.za,Klein And Smit Street
Holani Clinic,-25.70436,28.37559,Clinic,128125026,828576557,,19600 Tlou Street
Itireleng (Region B) Clinic,-26.045024,28.178177,Clinic,011-999-4371,,jacobethm@ekurhuleni.gov.za,Maduna And Edward Drive Phomolong
Itireleng CHC,-26.217873,27.871354,Community Health Clinic,011 9890304,,,"5/6 Elias Motsoaledi Rd,Dobsonville"
Itumeleng Clinic,-25.89636,27.60122,Clinic,145761019,787777308,,Portion Tq 304 Hekpoort Main Rd
Jabavu/Vusabantu Clinic,-26.253394,27.871703,Clinic,119844014,834621825,,"3123 Tumahole Str, And Manza Drive"
Jabulane Dumane CHC,-26.367295,28.218952,Community Health Clinic,011-863-7791,079-886-0428,nonthandazor@ekurhuleni.gov.za,257 Nguze Street Ext 2
Jack Hindon Clinic,-25.66656,28.16902,Clinic,012-5656-6667,,,376 Jack Hindon Street
Jameson Park Satellite Clinic,-26.45114,28.41774,Clinic,,716869859,,P.O.Box 201 Heidelberg Jamson Park
Jan Maree Clinic,-26.09488,27.74743,Clinic,116603338,765467694,,C/O Flemming And Gould Street
Jeppe Clinic,-26.20617,28.06758,Clinic,011-614-1474,083-287-0332,,34 Ford Street
Jeppe Street Clinic,-26.20617,28.06758,Clinic,011-336-0517,,hildah.khathide@gauteng.gov.za,159 Jeppe Street Clinic
Johan Deo Clinic,-26.60141,27.80894,Clinic,016-989-9900,071-686-9884,,1098 Polokong Sebokeng
Johan Heyns CHC,-26.70309,27.83411,Community Health Clinic,016-950-6000,071-686-9894,,Coner Of Frikkie Meyer And Pasteur Blvd
Joubert Park Clinic,-26.195339,28.047911,Clinic,011-725-4704,082-566-1024,vickymanz@joburg.org.za,"Cnr. Twist And Wolmarans Street Joubert Park,Johannesburg"
Joy Clinic,-26.127526,28.463208,Clinic,011-999-7359,,phindi.lukhele@ekurhuleni.gov.za,4748 Masemotha Etwatwa West
Jubilee Gateway Clinic,-25.40306,28.26582,Clinic,012-717-9348,,,Jubilee Road
Jubilee Hospital,-25.40306,28.26582,District Hospital,012-717-9300,,,"92 Jubilee Rd, Hammanskraal"
Kalafong Hospital,-25.76277,28.08948,Regional Hospital,012-318-6500,083-701-2593,lancelot.phalatsi@gauteng.gov.za,"205 Klipspringer Street, Atteridgeville"
Kameeldrift Clinic,-25.385717,28.181144,Clinic,,714715850,,"Plot 174,Moloto Road,Kameeldrift"
Kanana Clinic,-25.777576,28.606977,Clinic,139357908,823746734,,"Plot 36,Kameelzynkraal"
Karenpark Clinic,-25.67252,28.108,Clinic,012-358-9105,,patriciam@tshwane.gov .za,"C0 Heinrich And 1st Avenue, Karenpark"
Katlehong North Clinic,-26.312632,28.155022,Clinic,011-999-1389,,sophienkosi@ekurhuleni.gov.za,"2098 Khotso Street,Katlehong"
Kekana Gardens Clinic,-25.378319,28.308393,Clinic,127114327,823191820,,1161 Alexandra Section
Kekanastad Clinic,-25.35872,28.245643,Clinic,127100016,832886730,,4373 Kekanastad Clinic. Mojaneng
Kempton Park Civic Centre Clinic,-26.102079,28.226044,Clinic,011-999-3595,,valerie.mcculloch@ekurhuleni.gov.za,Corner Of Cr Swart And Pretoria Road
Kemston Clinic,-26.187678,28.313519,Clinic,011-999-6695,,beekqec@ekurhuleni.com,98 Kemston Avenue Benoni
Kgabo CHC,-25.47034,28.05896,Community Health Clinic,,071-679-0008,,Kgabo Stand
Khumalo Clinic,-26.383657,28.161972,Clinic,011-903-2138,076-802-7408,,181 Setonga Street Siluma Section
Khutsong CHC,-26.34856,27.32663,Community Health Clinic,187834366,735831475,ljijana@yahoo.com,5961 Morake Street
Khutsong East Clinic,-26.31549,27.32437,Clinic,187830290,835824681,,2829 Tswana Section
Khutsong Ext 3 Clinic,-26.3417,27.30307,Clinic,,721347848,,"6188 Ext 3,Khutsong"
Khutsong South Clinic,-26.34764,27.33127,Clinic,187835359,835856973,,"Stand No.1,Sompani Road"
Kibler Park Clinic,-26.319342,28.008914,Clinic,011-943-2002,083-287-2003,,Kenneth Gardens
Kingsway Clinic,-26.23064,28.367171,Clinic,011-999-7926,079-157-2194,soories@ekurhuleni.gov.com,"Corner Of Elliot And Escombe Street, Brakpan"
Klipspruit West Clinic,-26.289288,27.881327,Clinic,119471425,834621561,,C/O Calendula And Daisy Street
Klopper Park Clinic,-26.146835,28.197473,Satellite Clinic,113921598,823215279,annahl@ekurhuleni.gov.za,"36 Kruin Street, Driesklopper Hall, Klopper Park"
Kocksoord Clinic,-26.2219,27.64601,Clinic,114151466,725215558,,C/O Human & Market Street
Kokosi Clinic,-26.49437,27.46834,Clinic,829055918,788025011,,183 Ben Shiburi Street
